student_id,exercise_id,score
106061,3379,14.334505081176758
106061,173,14.319028854370115
106061,4401,14.303628921508787
106061,2206,14.301385879516602
106061,1980,14.299640655517578
106061,8982,14.299176216125488
106061,302,14.298994064331056
106061,5652,14.29859733581543
106061,784,14.298055648803713
106061,4491,14.297874450683594
106061,8681,14.297146797180176
106061,2663,14.297139167785645
106061,4244,14.29711627960205
106061,2415,14.297115325927734
106061,3301,14.297101020812988
106061,109,14.297064781188965
106061,465,14.296893119812012
106061,4860,14.296869277954102
106061,218,14.29682445526123
106061,607,14.296792984008787
75597,3379,14.379911422729492
75597,173,14.364437103271484
75597,4401,14.349035263061523
75597,1980,14.345046997070312
75597,8982,14.344582557678224
75597,302,14.344400405883787
75597,5652,14.344003677368164
75597,784,14.343461990356444
75597,4491,14.343281745910645
75597,8681,14.342554092407228
75597,2663,14.342546463012695
75597,3647,14.342538833618164
75597,2415,14.342522621154783
75597,3301,14.34250831604004
75597,109,14.3424711227417
75597,465,14.342300415039062
75597,4860,14.342275619506836
75597,218,14.34223175048828
75597,607,14.34220027923584
75597,2826,14.34218692779541
116770,3379,13.919865608215332
116770,173,13.904390335083008
116770,4401,13.888989448547363
116770,2206,13.886746406555176
116770,1980,13.885000228881836
116770,8982,13.884536743164062
116770,302,13.884354591369627
116770,5652,13.883957862854004
116770,784,13.883416175842283
116770,4491,13.883235931396484
116770,8681,13.88250732421875
116770,2663,13.88249969482422
116770,3647,13.882492065429688
116770,4244,13.882476806640623
116770,2415,13.882476806640623
116770,109,13.88242530822754
116770,465,13.882253646850586
116770,4860,13.882229804992676
116770,218,13.882184982299805
116770,607,13.88215446472168
66132,173,14.005037307739258
66132,4401,13.98963737487793
66132,2206,13.987394332885742
66132,1980,13.98564910888672
66132,8982,13.985184669494627
66132,302,13.985002517700195
66132,5652,13.98460578918457
66132,784,13.984063148498535
66132,4491,13.98388385772705
66132,8681,13.983155250549316
66132,2663,13.983147621154783
66132,3647,13.983139991760254
66132,4244,13.983124732971191
66132,2415,13.983123779296877
66132,109,13.983073234558104
66132,465,13.982901573181152
66132,4860,13.982876777648926
66132,218,13.982832908630373
66132,607,13.98280143737793
66132,2826,13.9827880859375
50494,173,13.910115242004396
50494,4401,13.894713401794434
50494,2206,13.892470359802246
50494,1980,13.890725135803224
50494,8982,13.890260696411133
50494,302,13.890079498291016
50494,5652,13.889681816101074
50494,784,13.889140129089355
50494,4491,13.888959884643556
50494,8681,13.888232231140137
50494,2663,13.888224601745604
50494,3647,13.888216972351074
50494,4244,13.888200759887695
50494,2415,13.88819980621338
50494,3301,13.888185501098633
50494,109,13.888150215148926
50494,465,13.887977600097656
50494,4860,13.887953758239746
50494,218,13.887910842895508
50494,607,13.88787841796875
49940,173,13.67872428894043
49940,4401,13.663323402404783
49940,2206,13.66107940673828
49940,1980,13.659334182739258
49940,8982,13.658869743347168
49940,302,13.65868854522705
49940,5652,13.65829086303711
49940,784,13.657750129699709
49940,4491,13.657569885253906
49940,8681,13.656841278076172
49940,2663,13.65683364868164
49940,3647,13.656826972961426
49940,4244,13.656810760498049
49940,2415,13.656810760498049
49940,109,13.65675926208496
49940,465,13.656587600708008
49940,4860,13.656563758850098
49940,218,13.656518936157228
49940,607,13.656488418579102
49940,2826,13.656475067138672
106668,3379,14.790937423706056
106668,173,14.77546215057373
106668,4401,14.760061264038086
106668,2206,14.757818222045898
106668,1980,14.756072998046877
106668,8982,14.755608558654783
106668,302,14.755426406860352
106668,5652,14.755029678344728
106668,784,14.754487991333008
106668,4491,14.754307746887209
106668,8681,14.753580093383787
106668,2663,14.753572463989258
106668,3647,14.753564834594728
106668,4244,14.753549575805664
106668,2415,14.753548622131348
106668,3301,14.753534317016602
106668,109,14.753496170043944
106668,465,14.753326416015623
106668,4860,14.753301620483398
106668,218,14.753257751464844
101009,3379,14.21741008758545
101009,173,14.201934814453123
101009,4401,14.18653392791748
101009,2206,14.184289932250977
101009,1980,14.182544708251951
101009,8982,14.18208122253418
101009,302,14.181899070739746
101009,5652,14.181501388549805
101009,784,14.180960655212402
101009,4491,14.180780410766602
101009,8681,14.180051803588867
101009,2663,14.180044174194336
101009,3647,14.180036544799805
101009,4244,14.18002223968506
101009,2415,14.180021286010742
101009,109,14.179969787597656
101009,465,14.179798126220703
101009,4860,14.17977523803711
101009,218,14.179729461669922
101009,607,14.179698944091797
37907,3379,13.860651016235352
37907,173,13.845175743103027
37907,4401,13.829773902893066
37907,2206,13.82753086090088
37907,1980,13.825785636901855
37907,8982,13.825321197509766
37907,302,13.825139999389648
37907,5652,13.824742317199709
37907,784,13.824201583862305
37907,4491,13.824020385742188
37907,8681,13.823293685913086
37907,2663,13.823285102844238
37907,3647,13.823278427124023
37907,4244,13.823261260986328
37907,2415,13.823261260986328
37907,3301,13.823246002197266
37907,109,13.82321071624756
37907,465,13.823040008544922
37907,4860,13.82301425933838
37907,218,13.82297134399414
40403,3379,13.60855770111084
40403,173,13.593082427978516
40403,4401,13.577680587768556
40403,2206,13.575437545776367
40403,1980,13.573692321777344
40403,8982,13.573227882385254
40403,302,13.573046684265137
40403,5652,13.572649002075195
40403,784,13.572107315063477
40403,4491,13.571928024291992
40403,8681,13.571199417114258
40403,2663,13.571191787719728
40403,3647,13.571185111999512
40403,4244,13.571167945861816
40403,2415,13.5711669921875
40403,3301,13.57115364074707
40403,109,13.571117401123049
40403,465,13.570945739746094
40403,4860,13.570920944213867
40403,218,13.570877075195312
105709,3379,14.74168586730957
105709,173,14.726211547851562
105709,4401,14.710809707641602
105709,2206,14.708566665649414
105709,1980,14.70682144165039
105709,8982,14.706356048583984
105709,302,14.706174850463867
105709,5652,14.705778121948242
105709,784,14.705236434936523
105709,4491,14.70505714416504
105709,8681,14.704328536987305
105709,2663,14.704320907592772
105709,3647,14.704313278198242
105709,4244,14.70429801940918
105709,2415,14.704297065734863
105709,3301,14.704282760620115
105709,109,14.704245567321776
105709,465,14.70407485961914
105709,4860,14.704050064086914
105709,218,14.70400619506836
66127,3379,13.537142753601074
66127,173,13.52166748046875
66127,4401,13.506265640258787
66127,2206,13.504023551940918
66127,1980,13.502278327941896
66127,8982,13.501813888549805
66127,302,13.501630783081056
66127,5652,13.50123405456543
66127,784,13.500692367553713
66127,4491,13.500513076782228
66127,8681,13.499785423278809
66127,2663,13.499777793884276
66127,3647,13.49976921081543
66127,4244,13.499753952026367
66127,2415,13.49975299835205
66127,109,13.49970245361328
66127,465,13.499530792236328
66127,4860,13.499506950378418
66127,218,13.499463081359863
66127,607,13.499431610107422
107254,3379,15.183342933654783
107254,173,15.16786766052246
107254,4401,15.152466773986816
107254,2206,15.150222778320312
107254,1980,15.148477554321287
107254,8982,15.148014068603516
107254,302,15.147831916809082
107254,5652,15.14743423461914
107254,784,15.146893501281738
107254,4491,15.146713256835938
107254,2663,15.145977020263672
107254,3647,15.145970344543455
107254,4244,15.145955085754396
