student_id,recommended_exercises
92272,"169,231,267,418,2166,2207,2214,3374,3642,3819,4038,4233,4681,4870,5459,6990,7738,8575,6316,7074"
54666,"169,221,427,942,2156,2167,2662,2827,3272,3371,3376,3484,3820,4086,4780,4825,5148,5218,8562,426"
62525,"98,100,217,1980,2167,2663,2678,3429,3482,3643,3693,4024,4680,5119,5138,7335,8980,2213,3352,8580"
106313,"91,104,169,210,371,471,2153,2349,2399,2417,3347,3372,3376,3486,3487,3543,4681,4780,5153,6989"
106286,"91,103,178,219,284,432,578,1129,2417,3260,3482,3542,4692,4832,4858,5142,5616,7076,8156,7074"
116673,"121,121,168,169,208,382,2172,2404,2645,3241,3272,3358,3477,3542,3895,4766,5121,5155,6990,8571"
93790,"90,100,109,220,223,235,456,462,509,1130,2045,2645,3352,3436,4038,4236,4692,5118,7077,8135"
56528,"92,143,176,219,705,854,983,2662,3293,3356,3395,3541,4302,4692,4785,4835,4883,7755,8571,8580"
92020,"90,213,234,282,1979,1980,2295,2856,3301,3429,3484,3600,4680,5154,5617,6371,7077,7738,8162,8398"
46989,"97,223,233,284,440,805,854,2678,3293,3351,3371,3477,3483,3641,3958,4024,5161,6855,7075,7077"
105729,"90,92,109,323,805,939,1132,2047,2357,2677,2681,3302,3397,3819,4681,4823,5145,5154,5161,6294"
111370,"143,208,219,220,232,362,412,1130,2191,2399,2417,2677,2856,3294,4603,4702,5118,5217,6989,7082"
70739,"90,98,161,218,223,323,416,936,1125,2200,2271,2677,2826,3272,3372,4823,4825,5149,6969,7905"
111903,"92,143,212,267,417,569,2153,2218,2826,3372,3437,3642,3645,4236,4603,4843,5119,5148,7738,2704"
57292,"100,143,168,221,233,446,462,2169,2428,2888,3436,3487,3539,4600,5142,5148,5161,6316,7081,2662"
69185,"90,98,101,108,143,177,178,217,324,470,3351,3374,3413,3540,3598,3647,4702,4827,5157,6316"
28485,"91,208,211,218,427,569,1981,2193,2213,2401,2856,3293,3355,3643,4472,4824,4858,4945,6294,8694"
115876,"143,208,368,433,722,989,1980,2165,2193,2661,3396,3599,4244,4681,4835,4884,6315,6316,8562,4015"
51569,"92,104,178,207,208,210,420,445,468,806,940,2165,2402,3423,3484,4657,4825,5141,5147,5156"
108356,"92,99,162,178,324,683,700,942,2294,2357,3429,3543,4472,4832,4884,5142,5488,6294,7335,8559"
105213,"91,102,177,417,463,472,1980,2045,2212,2275,2648,3357,3543,4193,4778,4827,5155,6317,7066,8571"
68106,"91,104,108,177,210,221,362,684,2169,2192,3351,3395,3484,3647,3958,4845,4881,5618,6317,7075"
62547,"91,97,177,210,246,316,723,940,2207,2679,3371,3540,3648,4015,4236,4702,5157,7755,8399,8569"
57298,"90,101,104,178,368,491,1979,2165,2677,2679,3273,3421,3540,4235,4467,5130,5156,7077,7335,7753"
100610,"91,99,220,509,683,879,2156,2294,2359,2416,2827,3362,3413,3477,4015,4234,4876,5162,8558,2683"
29161,"90,100,108,261,417,442,597,2140,2269,2293,2388,2677,2851,3371,3421,3600,4492,4680,5122,8980"
54729,"98,100,121,161,218,246,368,412,684,1126,2215,2840,2848,3241,3301,3355,3422,4778,4870,5119"
33734,"90,92,107,169,178,220,417,942,1130,2213,2851,3347,3540,3598,4824,5155,5162,6295,7789,3350"
81929,"162,316,412,440,578,1981,2200,2308,2417,2683,2856,3260,3375,3477,3600,4601,4766,4825,5153,8573"
52775,"91,103,231,246,362,578,2207,2415,2761,3272,3358,3402,3481,4472,4827,4845,4870,5155,5459,8573"
106680,"162,166,207,221,654,1131,1133,2191,2192,2295,2423,2840,3376,3539,3600,4086,4858,6888,7903,2294"
68118,"92,104,168,211,232,368,440,471,806,1125,2200,2415,3273,3351,3487,3600,4870,5153,5917,6990"
91686,"189,218,261,418,431,463,471,723,939,1127,2271,2852,3294,3413,3436,3693,4863,5859,8366,8581"
105039,"143,143,177,210,220,231,805,939,989,1129,2218,2295,2399,2682,3272,3302,3351,3355,3598,4193"
57295,"98,169,178,267,697,1125,2662,2681,2848,3293,3301,3423,3648,4234,4778,4824,5118,5151,7066,7077"
105178,"92,169,223,371,805,1979,2193,2218,2283,2357,2489,2826,3356,3487,3693,4600,4863,7066,7070,8588"
65798,"99,102,108,805,2045,2192,2294,3303,3371,3372,3820,4024,4233,4680,4785,4945,5145,7077,7247,8980"
57303,"91,108,207,267,302,697,936,2192,2416,2492,2683,3293,3693,4669,4835,4860,5458,6316,2677,5149"
64419,"121,207,230,382,463,722,2165,2200,2206,2859,3352,3396,3693,4235,4693,4860,5157,5219,6989,5151"
111636,"92,99,106,212,323,464,805,2200,2276,2423,3260,3287,3487,4234,4824,5149,5217,5458,5488,8990"
55693,"101,210,230,444,509,989,2214,2648,2859,3293,3351,3357,3599,3648,4024,4681,4825,5121,5156,7098"
116781,"143,162,172,223,417,432,1127,2166,2662,3358,3402,3541,3642,4600,4824,5119,6295,7079,8567,444"
116804,"160,162,217,222,371,445,468,569,687,1125,2489,3260,3402,3483,4467,4692,4775,5458,6316,7066"
40751,"91,97,107,209,267,514,683,1127,1133,2294,3287,3402,3542,3945,4692,5118,5149,5860,6990,7074"
105611,"161,166,207,234,879,2047,2214,2489,3372,3421,3437,3643,3895,4827,4883,5156,6642,6888,7786,8990"
116947,"101,230,235,442,941,2046,3260,3294,3539,4596,4766,4843,4863,4883,5488,7753,8399,8990,687,107"
54745,"143,166,178,389,416,684,784,2192,2388,2489,2859,3372,3598,4015,4680,4822,5859,7070,7077,4823"
68482,"91,97,172,217,445,684,806,1126,2167,2678,2827,3372,3539,3644,4015,4653,4680,5859,6317,7905"
106687,"91,99,105,172,389,723,941,2704,2848,3477,3481,3642,5617,5652,8990,942,160,1981,217,213"
40423,"168,282,412,420,941,2270,3293,3372,3598,3599,4086,4244,4825,5145,5147,5618,7077,7329,8581,7986"
105967,"90,90,102,108,166,597,705,2200,2221,2283,2388,2661,2681,3371,3376,4479,4766,5145,6642,174"
106806,"90,92,192,209,282,382,491,514,722,2046,2214,2404,2679,3351,3423,3482,4669,5148,5616,5618"
69346,"90,90,92,161,162,208,284,417,476,936,939,2212,2848,3540,3642,4600,4766,4863,5160,6855"
93142,"98,190,316,654,700,722,1979,2167,2169,2417,3351,3352,3353,3542,4479,4884,5117,6371,6990,7077"
107496,"143,207,218,386,784,940,1127,1129,2170,2214,2648,2827,3294,3373,3484,4657,5148,5153,7080,8398"
54731,"90,104,161,172,219,433,578,940,941,2678,2679,3293,3353,3374,3542,4234,5120,5162,8579,8581"
57505,"90,103,208,267,416,1980,2166,2170,2200,2428,2663,3302,4491,4780,4874,7753,7787,8589,8958,4015"
106710,"100,143,160,217,456,472,2200,2221,2293,2304,2469,2683,2840,3413,3598,4600,6989,7077,7106,4491"
105060,"90,101,121,218,222,456,936,1127,1131,2191,3252,3273,3397,3542,4778,4824,5156,5618,6317,8589"
106290,"92,109,172,413,705,941,983,1981,2170,2212,2856,3294,3351,3355,4235,4236,4472,5458,6990,8122"
93355,"121,189,261,316,697,989,2153,2662,2826,3260,3294,3374,3481,3693,4778,4835,5141,5156,7070,8573"
