student_id,recommended_exercises
92272,"190,231,316,423,989,2165,2166,2200,2206,3402,3429,4193,4653,4681,4883,6989,7066,7078,7080,8156"
54666,"166,178,207,223,284,514,697,940,1125,1129,2827,2859,3273,3373,3413,4596,4884,5147,5153,3355"
62525,"100,143,217,222,267,1980,2662,2761,3355,3373,3374,3542,4235,4825,5141,5156,5617,5859,6888,7903"
106313,"90,98,168,221,235,284,471,509,722,1981,2269,2402,2645,3375,3487,3539,3819,4086,4578,6969"
106286,"91,101,217,316,509,578,940,2048,2193,3273,3372,3375,3437,3599,4881,5149,6316,7076,8366,3598"
116673,"121,168,189,267,464,518,2295,2404,3272,3375,3397,3702,3895,4236,4657,5155,5217,6296,6990,8399"
93790,"90,121,219,234,445,518,654,805,1131,2166,3260,3347,3395,3481,4235,5117,5119,7070,8694,8990"
56528,"92,97,104,162,169,212,213,471,2165,2221,2269,2359,2678,3272,3436,4193,4489,4843,4883,5119"
92020,"92,97,207,234,454,687,942,2678,2856,3350,3396,3541,4601,4680,4823,5141,5156,7335,8399,7903"
46989,"97,97,107,218,440,454,514,569,939,989,2681,3294,3303,3648,4467,4860,5117,6294,8556,6969"
105729,"97,143,168,235,323,697,805,1130,2848,3376,3423,3481,3541,3599,3819,4492,4833,5143,7790,476"
111370,"143,169,220,234,362,382,427,1980,2156,2218,2856,3241,3371,3372,3437,4472,4702,4833,5121,5917"
70739,"90,100,121,230,232,445,940,983,1128,2200,3352,3477,4775,5138,5618,6315,7070,7076,8023,8559"
111903,"91,99,101,166,207,221,267,476,2046,2213,2704,3294,3355,3539,3945,4780,4822,5218,7098,7077"
57292,"168,217,231,442,454,459,578,1125,2169,2172,2295,2683,3272,3393,3482,4491,4692,5149,5219,7076"
69185,"90,101,107,108,210,597,723,1980,2275,2677,3252,3294,3436,3482,3539,4401,5117,5121,6316,8562"
28485,"90,102,208,412,413,989,1981,2167,2214,2645,2679,3371,4827,4858,5150,5154,5159,5216,7247,1125"
115876,"143,168,233,261,417,1128,2048,3302,3372,3642,4244,4491,4681,4822,4884,5130,5154,5459,6315,7903"
51569,"92,97,176,178,189,222,426,687,806,1979,2415,2648,3375,3483,3541,4015,5119,5147,5156,6316"
108356,"99,323,683,1979,2166,2294,2357,3293,3395,3486,3540,4234,4600,4778,4825,6225,6315,6371,7789,8990"
105213,"91,97,209,218,230,232,382,1981,2172,2214,2293,2888,3241,3484,4024,4302,4467,4778,5618,7066"
68106,"101,104,221,234,433,687,2402,2704,3358,3421,3487,3945,4193,4302,4824,5149,6969,7079,7082,3373"
62547,"92,97,107,177,230,371,491,1981,2172,2677,3293,3372,3482,3600,4086,4825,5618,7079,7905,8399"
57298,"90,92,108,213,427,578,2191,2304,3272,3374,3421,3484,4235,4236,5154,5219,6642,7082,8562,2357"
100610,"91,97,107,212,234,509,518,1126,1130,2218,2859,3272,3294,3372,3402,4883,5130,8023,8581,8980"
29161,"90,108,235,445,456,806,1979,2167,2826,2851,3372,3395,3421,3423,4680,4780,4843,5122,6855,7081"
