student_id,recommended_exercises
92272,"121,192,207,416,423,1126,1131,2046,2423,2662,2678,3351,3375,3702,4193,4778,4860,5155,5216,6990"
54666,"166,209,219,223,389,426,697,854,2156,2209,3355,3393,4596,4825,4833,4876,5130,6855,7070,8562"
62525,"98,143,302,654,705,1129,2269,2679,2681,2826,3352,3374,3395,4680,5143,5148,5216,6295,8155,5119"
106313,"98,104,230,233,427,722,936,940,2047,2402,3352,3372,3373,3481,3482,3598,4086,4578,4686,5154"
106286,"91,97,169,212,282,413,464,1125,2048,2294,3372,3374,3437,3486,4193,4680,5459,5860,8155,8399"
116673,"121,143,168,189,232,683,2166,2295,2306,2404,2678,3355,3372,3477,3642,3945,4863,5143,5156,514"
93790,"98,121,219,282,382,445,462,463,942,1128,2295,3347,3353,3375,3958,4193,4235,4863,5216,7790"
56528,"92,98,104,217,440,2209,2214,2276,2359,2761,3371,3396,3541,3895,3945,4235,4603,4681,6371,7076"
92020,"90,103,106,222,468,509,936,2153,2827,3351,3541,3819,4015,4489,5859,7075,7098,8572,8982,2851"
46989,"97,190,213,231,454,491,989,2679,2681,3347,3374,3394,3541,4233,4860,5218,6294,7903,7905,8694"
105729,"90,97,101,220,223,722,1132,2047,2165,2191,2203,2677,2851,3302,3358,3539,4600,4823,8122,8399"
111370,"169,178,232,302,1126,2283,2417,2851,3351,3598,3819,3945,4669,4825,4843,4863,5118,5616,7082,8559"
70739,"90,98,168,210,219,282,444,514,1130,1131,2167,2271,3303,3372,3393,3481,3539,4881,5149,7247"
111903,"92,143,168,190,361,440,2169,2218,2680,3353,3483,3484,4603,4827,5149,5153,6990,7753,8398,8566"
57292,"100,100,143,169,440,578,700,723,1130,1979,2169,2191,2306,2357,3477,5119,3371,8366,879,3355"
69185,"98,100,143,190,324,470,936,2207,2679,2683,2859,3241,3374,3540,3541,3819,5859,6315,8155,4492"
28485,"90,218,261,368,432,983,1126,2270,2275,2388,2469,3301,3355,3372,4467,4472,4832,5156,5159,8566"
115876,"100,189,368,417,941,2201,2415,2851,3347,3486,3540,3541,4015,4681,5130,5652,6316,6989,8579,8694"
51569,"92,99,176,190,210,218,427,440,514,806,2218,2308,2648,3375,3437,3540,3542,4863,5122,8162"
108356,"92,99,105,217,219,323,514,1979,2166,2662,3371,3394,3429,3598,4833,4863,5141,5458,7790,7986"
105213,"91,102,172,209,233,382,420,1980,2045,2215,2304,3241,3303,3355,4467,4680,5859,7066,7079,6969"
68106,"91,101,104,192,218,221,597,942,2153,2357,3373,3421,3437,3644,4600,4845,4870,5149,5617,8990"
62547,"97,219,220,420,940,2172,2212,2678,2683,3293,3371,3645,4236,4702,4825,5119,5859,7079,7789,8568"
57298,"90,178,324,431,476,942,2276,3260,3350,3372,3423,3645,4657,4673,5119,5150,5156,5459,6969,7075"
100610,"91,92,220,231,697,941,2169,2827,2856,3356,4015,4234,4693,4832,5117,5151,5162,5216,8569,8574"
29161,"91,100,108,456,2046,2663,2679,3351,3375,3423,4492,4822,4825,4884,5652,6855,7064,8980,5154,2167"
54729,"98,161,218,246,462,983,1979,2165,2192,2349,2677,2678,3423,3482,4489,4600,4876,6295,8399,8562"
33734,"92,102,106,121,213,413,700,989,1133,2207,3273,3355,3358,3540,4780,4874,5120,5153,6969,8681"
81929,"162,208,221,234,282,431,509,983,2415,2492,2681,3241,3302,3396,3541,4692,5122,5160,7066,7786"
52775,"91,143,160,420,432,491,700,2169,2415,3293,3358,3481,4401,4600,4785,4863,4870,5459,6294,7905"
106680,"162,172,218,232,246,426,456,723,2201,2221,2469,2678,3350,3355,3413,4193,6295,6315,8990,222"
68118,"90,90,97,217,232,471,1127,1979,2048,2645,2680,2683,3371,3429,3600,3693,4086,4825,4858,4870"
91686,"161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,468,476,700,2294"
105039,"143,160,209,217,231,235,323,386,440,1126,1132,2306,2308,3252,3358,3598,4233,6317,6990,8574"
57295,"100,160,219,442,463,1979,2209,2679,3352,3394,3413,3483,3693,4601,4669,4945,5216,6296,7098,3598"
105178,"92,103,161,213,230,316,459,687,940,2308,2357,2826,3260,3600,3642,4702,5151,8023,8155,8980"
65798,"90,99,160,267,383,471,2214,2294,2678,2683,3481,3647,3819,4778,4835,5130,6989,8559,8980,5120"
57303,"91,98,108,189,442,879,2207,2399,2648,3372,3539,3693,4601,4669,4860,5118,5458,6317,7075,8399"
64419,"107,108,178,426,2200,2209,2295,3302,3350,3486,3600,4693,5148,5151,5153,5162,7315,8990,2166,4244"
111636,"92,109,143,177,208,220,323,368,386,1126,2209,2276,2859,3394,3542,3647,4673,4881,5156,3436"
55693,"90,101,169,220,246,475,941,2170,2215,2849,3353,3374,3598,4015,5151,5459,7070,7079,7081,3350"
116781,"100,162,223,454,1127,2269,3272,3358,3486,3648,3958,4780,4843,5150,5618,6888,7066,7753,7076,3376"
116804,"162,190,371,444,445,449,654,983,2169,3287,3353,3436,3541,4778,5119,7075,7329,8574,8958,160"
40751,"91,97,102,169,211,222,491,1132,2156,2682,3402,3486,4492,4825,5142,5217,6317,7065,7080,7753"
105611,"161,166,221,368,418,578,1128,1131,2193,2283,2489,3371,3422,3486,3541,3642,4236,4603,4832,7066"
116947,"91,101,105,121,233,284,463,687,1126,2046,2678,3303,3644,3702,4673,5143,5860,7065,8399,723"
54745,"143,166,232,389,463,784,805,2193,2201,2308,2859,3350,3375,3599,3600,4086,4578,6990,7065,8576"
68482,"97,172,177,189,230,383,569,941,1980,2153,2165,2213,3350,3482,4881,5122,5618,6888,7066,7903"
106687,"92,99,108,192,211,217,426,683,2047,2203,2492,2682,3272,3395,3539,3599,4401,4860,5216,6316"
40423,"121,143,172,177,189,284,389,578,687,879,936,2045,2165,2417,2662,4086,4401,4653,4825,7074"
105967,"90,92,109,211,233,2172,2200,2214,2404,2489,2849,3293,3347,3374,3376,4467,4578,5118,5141,7106"
106806,"92,104,106,189,222,223,234,382,2416,2859,3358,3413,4596,5142,5162,6316,7075,8575,213,4479"
69346,"90,91,92,232,454,514,569,2417,3374,3375,3945,4479,5122,5458,6296,6855,7070,7080,7903,8589"
93142,"121,209,232,416,423,462,989,2295,2417,2683,3358,3397,3542,3895,4780,4884,5458,6371,6990,8558"
107496,"98,162,234,442,569,722,1125,2206,2209,2677,2888,3374,3540,4492,4843,5149,5218,7106,8589,2169"
54731,"90,91,97,208,217,284,417,784,854,1980,2306,2840,2888,3395,3396,3541,3645,4596,4825,7247"
57505,"90,102,104,218,219,235,382,475,1127,2167,2192,2428,2826,4479,4780,4860,5162,5219,5859,8958"
106710,"100,160,172,282,383,416,472,854,2167,2275,2415,2662,2682,3301,3482,3819,4870,5618,6989,7899"
105060,"90,92,101,161,234,454,936,1131,2294,2306,2662,3252,3347,3352,3429,3540,3643,4870,6315,6969"
106290,"92,99,106,169,209,282,805,2415,2416,2856,3258,3351,3355,3396,3539,3543,4472,4884,5117,7070"
93355,"100,121,168,189,284,316,368,417,684,1979,2469,2663,3376,3693,4657,4775,5118,5156,7078,8135"
66133,"98,143,261,418,468,854,1127,2214,2677,2683,3347,3372,3541,4491,4775,5120,5216,6855,7755,7786"
107529,"100,178,234,456,705,939,941,1126,2207,2215,2469,3371,3376,3482,3641,4596,4843,5154,5216,7738"
69039,"98,160,209,432,942,2193,2221,2399,2681,3293,3374,3396,3643,3647,4870,5157,8135,8558,8588,8990"
